"SITENUM","SITE","BGPOP90","LBGPOP90","TRPOP90","LTRPOP90","LDISTA1","LDISTA2","LDISTA3","NLCD_URB","ELEV_NED","NLCD_LIR","NLCD_HIR","NLCD_ICT","NED_300","NED_1KM","S10_E1K","LS10_E1K","S10_E10K","LS10_E10","S25_E1K","LS25_E1K","S25_E10K","LS25_E10","ASIPNTNU","CMSA","FCYFIPS","REGION","NETWORK","LATITUDE","LONGITUD","EPALANDU","MONOBJ_1","MONOBJ_2","LOCSETTG","XINMETER","YINMETER","FCYPOP90","FCYPOP00","EXTREGNE","EXTREGMW","EXTREGSE","EXTREGSC","EXTREGSW","EXTREGNW","XINKM","YINKM","XINMM","YINMM","LCYPOP90","LCYPOP00","FCY00M90","gridID","n","pm","cvset","x","y","gridNum"
239,"09-009-1123",9357.52988733121,9.14393663371751,7233.52050205256,8.88648112638547,5.29913047158852,6.89776464517472,7.83039814423944,83.3675564681725,8.59195614,6.98151950718686,39.5717219125843,36.8143150484013,10.3554554,11.82895374,0,-6.90775527898214,87.68,4.47369382319971,0,-5.99146454710798,61.652,4.12150567028447,25779,"5480",9009,"Northeast","SAQS",41.310833,-72.917222,"RESIDENTIAL","OTHER","NO INFO","URBAN AND CENTER CITY",1898899.14077,2265560.89014,1297.97885161121,1280.57550009014,1,0,0,0,0,0,1898.89914077,2265.56089014,1.89889914077,2.26556089014,7.16856360407368,7.15506486531504,-17.4033515210704,327720,23,11.1711658484776,1,1.89889914077,2.26556089014,83787
241,"09-009-9005",8840.64458370636,9.08711506968226,4120.69871289729,8.32377801847378,7.820436368248,7.5357138874605,6.56422581938981,78.1460838955705,42.79138565,42.446465239073,21.0618949838662,14.6377236726313,36.46191788,24.53990936,0,-6.90775527898214,191.14,5.25300614383803,0,-5.99146454710798,153.323,5.03254680723979,25779,"5480",9009,"Northeast","SAQS",41.341111,-72.921389,"RESIDENTIAL","POPULATION EXPOSURE","NO INFO","SUBURBAN",1897714.11716,2268747.94483,1297.97885161121,1280.57550009014,1,0,0,0,0,0,1897.71411716,2268.74794483,1.89771411716,2.26874794483,7.16856360407368,7.15506486531504,-17.4033515210704,327720,24,11.696179503367,10,1.89771411716,2.26874794483,83787
244,"10-001-0003",2374.01263395131,7.77233689695465,2374.01263395131,7.77233689695465,10.7945187246376,6.01597667006962,6.1593722595465,68.9645057201525,3.87504959,41.8891170431211,1.61337635670285,25.4620123203285,5.33220005,7.41687059,0,-6.90775527898214,208,5.33753807970132,0,-5.99146454710798,179,5.18738580584075,23381,"2190",10001,"Northeast","SAQS",39.155,-75.518056,"RESIDENTIAL","POPULATION EXPOSURE","NO INFO","SUBURBAN",1740100.20657,1980528.63563,185.325811636323,212.9177231739,1,0,0,0,0,0,1740.10020657,1980.52863563,1.74010020657,1.98052863563,5.22211542006279,5.36090581490669,27.5919115375766,279512,24,13.9788881604507,3,1.74010020657,1.98052863563,49043
245,"10-003-1003",748.590566923161,6.61819219443336,1038.04251872008,6.94509202504498,5.61819958445696,5.48117798543857,7.27257731766616,47.3452625403344,20.4899044,31.9741859782928,4.78146083895571,10.5896157230859,21.2512188,18.67631912,0,-6.90775527898214,947.692,6.8540295549506,0,-5.99146454710798,733.147,6.59734622748264,23983,"9160",10003,"Northeast","SAQS",39.761111,-75.491944,"RESIDENTIAL","POPULATION EXPOSURE","NO INFO","SUBURBAN",1727739.08836,2047358.32145,942.207683256736,1047.67321950557,1,0,0,0,0,0,1727.73908836,2047.35832145,1.72773908836,2.04735832145,6.84822572082486,6.95432700280818,105.465536248834,290882,24,15.1280829124579,3,1.72773908836,2.04735832145,57234
246,"10-003-1007",51.6830747572535,3.94513035378141,425.730199461537,6.05380581103096,9.28513175331293,6.54491522657082,4.86135915736721,0.146670577882077,22.00065994,0.0293341155764154,0,0.117336462305661,22.08368111,21.5129528,0,-6.90775527898214,1665.215,7.41770952320722,0,-5.99146454710798,1572.215,7.36024073208504,23683,"9160",10003,"Northeast","SAQS",39.551111,-75.730833,"AGRICULTURAL","POPULATION EXPOSURE","NO INFO","RURAL",1712902.70458,2020040.17405,942.207683256736,1047.67321950557,1,0,0,0,0,0,1712.90270458,2020.04017405,1.71290270458,2.02004017405,6.84822572082486,6.95432700280818,105.465536248834,286195,23,14.3594318966058,3,1.71290270458,2.02004017405,53856
248,"10-003-1012",888.703921272544,6.78976413310394,1261.96252467804,7.14042334747644,8.53498293111866,9.13352287971794,4.31016385653088,40.6864183044881,56.69725037,33.1475506013494,5.66148430624817,1.87738339689058,48.49892044,48.86184311,0.069,-2.67364877438488,55.309,4.01293564392993,0.049,-3.01593498087151,43.289,3.76789856116398,23984,"9160",10003,"Northeast","SAQS",39.691944,-75.761667,"RESIDENTIAL","POPULATION EXPOSURE","NO INFO","SUBURBAN",1707026.6467,2034929.00601,942.207683256736,1047.67321950557,1,0,0,0,0,0,1707.0266467,2034.92900601,1.7070266467,2.03492900601,6.84822572082486,6.95432700280818,105.465536248834,288870,24,15.3575445977976,7,1.7070266467,2.03492900601,55783
249,"10-003-2004",2136.60771281589,7.66697466936013,4304.60964001157,8.36744173679502,5.99343959825977,6.14761017255731,4.22647328512775,92.4317981812848,7.24056339,9.59225579348783,41.6544441185098,41.1850982692872,7.16143513,12.6902895,0,-6.90775527898214,571.848,6.34887322180046,0,-5.99146454710798,423.771,6.04919321498885,23983,"9160",10003,"Northeast","SAQS",39.739444,-75.558056,"COMMERCIAL","HIGHEST CONCENTRATION","POPULATION EXPOSURE","URBAN AND CENTER CITY",1722773.9199,2043786.26213,942.207683256736,1047.67321950557,1,0,0,0,0,0,1722.7739199,2043.78626213,1.7227739199,2.04378626213,6.84822572082486,6.95432700280818,105.465536248834,290212,24,16.4953128764953,2,1.7227739199,2.04378626213,56751
250,"10-005-1002",2253.72674703742,7.72034045701002,199.112093038252,5.29386794774022,9.90502504345449,6.40069608123687,5.72516609028961,67.585802288061,9.17170525,47.7852742739806,12.4963332355529,7.30419477852743,9.17359257,7.21366119,0,-6.90775527898214,102,4.62497281328427,0,-5.99146454710798,46,3.8286413964891,22779,"NOT IN AN MSA",10005,"Northeast","SAQS",38.644444,-75.613056,"RESIDENTIAL","POPULATION EXPOSURE","NO INFO","SUBURBAN",1744335.90684,1922879.92321,119.875776134484,151.705653723116,1,0,0,0,0,0,1744.33590684,1922.87992321,1.74433590684,1.92287992321,4.78645600771431,5.02194215476427,31.8298775886324,270147,24,14.0635016835017,9,1.74433590684,1.92287992321,42296
252,"23-003-0013",714.228621670073,6.57120310950448,86.6070748593299,4.46138150806668,11.8170899795602,3.87637023305331,9.13216216996376,48.8413024347316,175.74032593,21.9712525667351,14.197711938985,12.6723379290114,175.22549438,179.16633606,0.047,-3.05760767727208,0.047,-3.05760767727208,0.037,-3.29683736633791,0.037,-3.29683736633791,32984,"NOT IN AN MSA",23003,"Northeast","SAQS",47.355,-68.322778,"COMMERCIAL","POPULATION EXPOSURE","NO INFO","URBAN AND CENTER CITY",2073704.46731,3011074.65268,12.7307195810214,10.9695117453614,1,0,0,0,0,0,2073.70446731,3011.07465268,2.07370446731,3.01107465268,2.54401793736779,2.39511976512537,-1.76120783566008,452198,24,11.5220136865449,8,2.07370446731,3.01107465268,173483
253,"23-003-1011",1618.92497321631,7.38951761116858,130.978072564237,4.8750299241849,10.9956326890786,4.28514451506931,4.52471079397202,81.5781754180111,135.61688232,50.0440011733646,11.9683191551775,19.5658550894691,136.86369324,144.21951294,0,-6.90775527898214,234.14,5.45591922705153,0,-5.99146454710798,143.132,4.96376728140948,32381,"NOT IN AN MSA",23003,"Northeast","SAQS",46.682222,-68.016111,"COMMERCIAL","NO INFO","NO INFO","URBAN AND CENTER CITY",2117622.90984,2946562.53148,12.7307195810214,10.9695117453614,1,0,0,0,0,0,2117.62290984,2946.56253148,2.11762290984,2.94656253148,2.54401793736779,2.39511976512537,-1.76120783566008,441505,24,8.64933291245791,2,2.11762290984,2.94656253148,165782
